"filename", "language", "TypeScript", "JavaScript", "TypeScript React", "CSS", "JavaScript React", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Scrip\desktop\lunar\client\src\components\LandingAssets\polygon.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Scrip\desktop\lunar\client\src\components\Landingv2.jsx", "JavaScript React", 0, 0, 0, 0, 273, 0, 0, 24, 18, 315
"c:\Users\Scrip\desktop\lunar\client\src\components\ProductModal.tsx", "TypeScript React", 0, 0, 81, 0, 0, 0, 0, 3, 13, 97
"c:\Users\Scrip\desktop\lunar\client\src\components\WalletModal.tsx", "TypeScript React", 0, 0, 70, 0, 0, 0, 0, 4, 9, 83
"c:\Users\Scrip\desktop\lunar\client\src\components\extended.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\Scrip\desktop\lunar\client\src\contracts\Migrations.json", "JSON", 0, 0, 0, 0, 0, 974, 0, 0, 0, 974
"c:\Users\Scrip\desktop\lunar\client\src\contracts\SimpleStorage.json", "JSON", 0, 0, 0, 0, 0, 617, 0, 0, 0, 617
"c:\Users\Scrip\desktop\lunar\client\src\getWeb3.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 9, 3, 39
"c:\Users\Scrip\desktop\lunar\client\src\index.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 4, 13, 67
"c:\Users\Scrip\desktop\lunar\client\src\index.tsx", "TypeScript React", 0, 0, 21, 0, 0, 0, 0, 4, 3, 28
"c:\Users\Scrip\desktop\lunar\client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Scrip\desktop\lunar\client\src\serviceWorker.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 31, 13, 136
"Total", "-", 0, 130, 2751, 80, 273, 1591, 129, 257, 514, 5725
